,category,rating,label,text_
0,Home_and_Kitchen_5,5,CG,love well made sturdi comfort i love veri pretti
1,Home_and_Kitchen_5,5,CG,love great upgrad origin i 've mine coupl year
2,Home_and_Kitchen_5,5,CG,thi pillow save back i love look feel pillow
3,Home_and_Kitchen_5,1,CG,miss inform use great product price i
4,Home_and_Kitchen_5,5,CG,veri nice set good qualiti we set two month
5,Home_and_Kitchen_5,3,CG,i want differ flavor but they are not
6,Home_and_Kitchen_5,5,CG,they perfect touch thing i wish littl space
7,Home_and_Kitchen_5,3,CG,these done fit well look great i love smooth edg extra
8,Home_and_Kitchen_5,5,CG,great big number easi read thing i n't like size
9,Home_and_Kitchen_5,5,CG,my son love comfort well made we also babi
10,Home_and_Kitchen_5,5,CG,a advertis 5th one i 've the problem 's realli
11,Home_and_Kitchen_5,5,CG,veri handi one kid tool includ packag i one
12,Home_and_Kitchen_5,5,CG,did someon say `` orient '' it great product
13,Home_and_Kitchen_5,1,CG,these flimsi they qualiti would expect piec furnitur
14,Home_and_Kitchen_5,5,CG,make may tea stir the problem 's kind hard put
15,Home_and_Kitchen_5,5,CG,absolut ador and excel price we wooden one month
16,Home_and_Kitchen_5,5,CG,love perfect size entir famili veri good qualiti
17,Home_and_Kitchen_5,5,CG,these look beauti nice the problem 's realli mesh one
18,Home_and_Kitchen_5,5,CG,exactli would expect i love look feel pillow
19,Home_and_Kitchen_5,5,CG,star i would highli recommend item we love blanket
20,Home_and_Kitchen_5,5,CG,great littl egg masher we month 's
21,Home_and_Kitchen_5,5,CG,a advertis easi use love color also dimens
22,Home_and_Kitchen_5,5,CG,exactli pictur i love look feel pillow
23,Home_and_Kitchen_5,5,CG,fantast i want i love look feel pillow
24,Home_and_Kitchen_5,5,CG,suppos come extra hardwar the problem 's realli vacuum
25,Home_and_Kitchen_5,5,CG,easi use seem easi way make smoothi small person
26,Home_and_Kitchen_5,2,CG,not i accustom the reason i gave star i
27,Home_and_Kitchen_5,5,CG,nice product seller ye thin plastic piec howev handl
28,Home_and_Kitchen_5,5,CG,so good bought second set look like first one i sure
29,Home_and_Kitchen_5,5,CG,wonder aroma throughout hous the problem 's kind hard put
30,Home_and_Kitchen_5,5,CG,receiv time flat i love look my husband like
31,Home_and_Kitchen_5,3,CG,these okay nice one i got local store
32,Home_and_Kitchen_5,3,CG,gave away thought would good addit kitchen i
33,Home_and_Kitchen_5,4,CG,product fine wish option separ handl
34,Home_and_Kitchen_5,5,CG,awesom i say materi good qualiti decent
35,Home_and_Kitchen_5,3,CG,way heavi everyday use the reason i gave star one
36,Home_and_Kitchen_5,5,CG,well made work great we wooden part cup coupl
37,Home_and_Kitchen_5,5,CG,bought go old suction cup i also love remov
38,Home_and_Kitchen_5,5,CG,just expect look great design make nice place babi
39,Home_and_Kitchen_5,1,CG,aw experi everyth stuck cook evenli the problem 's realli
40,Home_and_Kitchen_5,5,CG,doe great job keep suction i also love n't slide
41,Home_and_Kitchen_5,2,CG,sheet color is nice buy for my size for my town
42,Home_and_Kitchen_5,5,CG,save instead origin ship box i keep money veri pretti
43,Home_and_Kitchen_5,5,CG,these towel real nice i love feel they nice feel
44,Home_and_Kitchen_5,5,CG,work great easi clean easi clean i purchas veri pretti
45,Home_and_Kitchen_5,3,CG,alright price littl disappoint qualiti product
46,Home_and_Kitchen_5,4,CG,great qualiti beauti color we one month love
